ID,ファイル名,読み上げる文章,まとめ,対象,テスト運用,同じ音声を使う場面,収録メモ
greeting,greeting.mp3,こんにちは。わたしは、AIティーチャーです。これから成績について、いくつか質問します。マイクのマークが光ったら、はっきりと答えてくださいね。,あいさつ,,必要,,面談のいちばん最初。ゆっくりめに
closing,closing.mp3,ありがとうございました。話してくれた内容をまとめました。画面をいっしょに確認しましょう。,あいさつ,,必要,,全問終わったあと
again,again.mp3,ごめんなさい。もう一度お願いします。,聞き直し,,必要,得点・評定が聞き取れなかったとき / 国語の得点の言い直し / 数学の得点の言い直し / 英語の得点の言い直し / 理科の得点の言い直し / 社会の得点の言い直し / 国語の評定の言い直し / 社会の評定の言い直し / 数学の評定の言い直し / 理科の評定の言い直し / 英語の評定の言い直し / 音楽の評定の言い直し / 美術の評定の言い直し / 保健体育の評定の言い直し / 技術・家庭の評定の言い直し / 次の目標点の言い直し,聞き取れなかったときの共通の言い直し。教科名は入れない
confirm-score,confirm-score.mp3,こちらの点数であっていますか。,確認,国語の得点、数学の得点、英語の得点、理科の得点、社会の得点、次の目標点,必要,,答えの値は画面に大きく出るので、音声では読み上げない
confirm-grade,confirm-grade.mp3,こちらの評定であっていますか。,確認,国語の評定、社会の評定、数学の評定、理科の評定、英語の評定、音楽の評定、美術の評定、保健体育の評定、技術・家庭の評定,追加設定のとき,,答えの値は画面に大きく出るので、音声では読み上げない
confirm-retry,confirm-retry.mp3,あっていたら「はい」、ちがったら「いいえ」と言ってください。,確認,,必要,,「はい」「いいえ」が聞き取れなかったとき
err-unheard,err-unheard.mp3,ごめんなさい、聞き取れませんでした。,聞き直し,,必要,答えとして受け取れなかったとき,
err-score-format,err-score-format.mp3,点数を、0から100までの数字で言ってください。,聞き直し,,必要,答えとして受け取れなかったとき,満点を100点から変える場合は録り直し
err-score-over,err-score-over.mp3,満点をこえています。0から100までの数字で言ってください。,聞き直し,,必要,答えとして受け取れなかったとき,数字は読み上げない
err-yesno,err-yesno.mp3,「はい」か「いいえ」で答えてください。,聞き直し,,必要,答えとして受け取れなかったとき,
