ID,ファイル名,読み上げる文章,まとめ,対象,収録メモ
greeting,greeting.mp3,こんにちは。わたしは、AIティーチャーです。これから成績について、いくつか質問します。マイクのマークが光ったら、はっきりと答えてくださいね。,あいさつ,,面談のいちばん最初。ゆっくりめに
closing,closing.mp3,ありがとうございました。話してくれた内容をまとめました。画面をいっしょに確認しましょう。,あいさつ,,全問終わったあと
q-intro-ready,q-intro-ready.mp3,これから、テストの点数と通知表について聞かせてください。準備はいいですか。,質問｜はじめに,準備はいいですか,
q-test-01,q-test-01.mp3,国語のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,国語の得点,
q-test-01-again,q-test-01-again.mp3,もう一度お願いします。国語の点数を、数字で言ってください。,質問｜定期テストの得点,国語の得点,聞き取れなかったときの言い直し
q-test-02,q-test-02.mp3,数学のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,数学の得点,
q-test-02-again,q-test-02-again.mp3,もう一度お願いします。数学の点数を、数字で言ってください。,質問｜定期テストの得点,数学の得点,聞き取れなかったときの言い直し
q-test-03,q-test-03.mp3,英語のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,英語の得点,
q-test-03-again,q-test-03-again.mp3,もう一度お願いします。英語の点数を、数字で言ってください。,質問｜定期テストの得点,英語の得点,聞き取れなかったときの言い直し
q-test-04,q-test-04.mp3,理科のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,理科の得点,
q-test-04-again,q-test-04-again.mp3,もう一度お願いします。理科の点数を、数字で言ってください。,質問｜定期テストの得点,理科の得点,聞き取れなかったときの言い直し
q-test-05,q-test-05.mp3,社会のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,社会の得点,
q-test-05-again,q-test-05-again.mp3,もう一度お願いします。社会の点数を、数字で言ってください。,質問｜定期テストの得点,社会の得点,聞き取れなかったときの言い直し
q-report-01,q-report-01.mp3,通知表の国語の評定はいくつでしたか。,質問｜通知表の評定,国語の評定,
q-report-01-again,q-report-01-again.mp3,もう一度お願いします。国語の評定を、1から5の数字で言ってください。,質問｜通知表の評定,国語の評定,聞き取れなかったときの言い直し
q-report-02,q-report-02.mp3,通知表の社会の評定はいくつでしたか。,質問｜通知表の評定,社会の評定,
q-report-02-again,q-report-02-again.mp3,もう一度お願いします。社会の評定を、1から5の数字で言ってください。,質問｜通知表の評定,社会の評定,聞き取れなかったときの言い直し
q-report-03,q-report-03.mp3,通知表の数学の評定はいくつでしたか。,質問｜通知表の評定,数学の評定,
q-report-03-again,q-report-03-again.mp3,もう一度お願いします。数学の評定を、1から5の数字で言ってください。,質問｜通知表の評定,数学の評定,聞き取れなかったときの言い直し
q-report-04,q-report-04.mp3,通知表の理科の評定はいくつでしたか。,質問｜通知表の評定,理科の評定,
q-report-04-again,q-report-04-again.mp3,もう一度お願いします。理科の評定を、1から5の数字で言ってください。,質問｜通知表の評定,理科の評定,聞き取れなかったときの言い直し
q-report-05,q-report-05.mp3,通知表の英語の評定はいくつでしたか。,質問｜通知表の評定,英語の評定,
